"fdc_id","description","Calories","Carbohydrate","Protein","Fats","Sugars","sugar_was_estimated"
167760,"Sapote, mamey, raw",124,32.1,1.45,0.46,20.14,FALSE
167761,"Soursop, raw",276,16.84,1,0.3,13.54,FALSE
167762,"Strawberries, raw",32,7.68,0.67,0.3,4.89,FALSE
167763,"Tamarinds, raw",1000,62.5,2.8,0.6,38.8,FALSE
167764,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",360,22.36,0.41,0.1,8.94,TRUE
167765,"Watermelon, raw",127,7.55,0.61,0.15,6.2,FALSE
167766,"Maraschino cherries, canned, drained",690,41.97,0.22,0.21,38.77,FALSE
167767,"Pineapple, canned, juice pack, drained",252,15.56,0.51,0.11,14.26,FALSE
167768,"Apricots, canned, heavy syrup, drained",83,21.31,0.64,0.11,18.65,FALSE
167769,"Cherries, sour, canned, water pack, drained",174,10.45,0.69,0.21,6.99,FALSE
167770,"Cherries, sweet, canned, pitted, heavy syrup, drained",348,21.07,0.73,0.21,16.18,FALSE
167771,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",191,11.3,0.1,0.13,9.62,FALSE
167772,"Applesauce, canned, unsweetened, with added ascorbic acid",42,11.27,0.17,0.1,9.39,FALSE
167773,"Applesauce, canned, sweetened, with salt",318,19.91,0.18,0.18,7.96,TRUE
167774,"Grapefruit juice, pink, raw",39,9.2,0.5,0.1,6.9,TRUE
167775,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",47,11.54,0.14,0.1,4.62,TRUE
167776,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",264,15.01,0.39,0.16,9.69,FALSE
167777,"Pears, raw, red anjou",261,14.94,0.33,0.14,9.54,FALSE
167778,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",67,16.1,0.36,0.09,10.23,FALSE
167779,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",275,15.79,0.44,0.1,9.73,FALSE
167780,"Prune puree",1075,65.1,2.1,0.2,39,FALSE
167781,"Candied fruit",322,82.74,0.34,0.07,80.68,FALSE
167782,"Abiyuch, raw",290,17.6,1.5,0.1,8.55,FALSE
167783,"Rowal, raw",462,23.9,2.3,2,14.1,FALSE
167784,"Guava nectar, canned, with added ascorbic acid",63,16.25,0.09,0.06,12.95,FALSE
167785,"Mango nectar, canned",212,13.12,0.11,0.06,12.45,FALSE
167786,"Tamarind nectar, canned",57,14.73,0.09,0.12,12.7,FALSE
167787,"Pomegranate juice, bottled",54,13.13,0.15,0.29,12.65,FALSE
167788,"Nance, canned, syrup, drained",396,22.79,0.56,1.28,15.66,FALSE
167789,"Nance, frozen, unsweetened",73,16.97,0.66,1.16,8.31,FALSE
167790,"Naranjilla (lulo) pulp, frozen, unsweetened",25,5.9,0.44,0.22,3.74,FALSE
167791,"Horned melon (Kiwano)",44,7.56,1.78,1.26,5.67,TRUE
167792,"Orange Pineapple Juice Blend",214,12.2,0.41,0.08,10.57,FALSE
167793,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",63,15.22,0.2,0.18,11.68,FALSE
167794,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",203,11.54,0.68,0.12,8.31,FALSE
167795,"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",262,15,0.42,0,12.5,FALSE
167796,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",53,12.53,0.6,0.26,11.15,FALSE
167797,"Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",194,10.9,0.63,0.02,9.3,FALSE
167798,"Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",234,13.04,0.63,0.33,11.46,FALSE
167799,"Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana",52,12.37,0.44,0.3,10.33,FALSE
167800,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",48,11.49,0.12,0.17,9.47,FALSE
167801,"Lemon juice from concentrate, bottled, CONCORD",99,5.37,0.4,0.07,1.42,FALSE
